ontolex.LexicalSense	lexicog.usageExample	lexinfo.frequency	lexinfo.note	rdfs.comment	rdfs.label.en	rdfs.label.la	rdfs.label.pt	skos.definition.la	skos.definition.pt	skos.note
lexicalSense:n15013.sg01.s01							Falas fora do verso. 		 Falas fora do verso . 	Dir-se-ha dos que vão fora do proposito. Tomou das figuras das comedias que as vezes nam fazem os meneos conformes aos seus ditos.
lexicalSense:n15014.sg01.s01							Trabalhar de balde		 Trabalhar de balde 	
lexicalSense:n15015.sg01.s01							Nenhũas cidades se igualã com Crotona. 		 Nenhũas cidades se igualã com Crotona . 	Isto se dirà dos que leuam vantagem aos outros. porque Crotona teue os milhores lutadores do mũdo. como foy Mylo. & Crotoniates.
lexicalSense:n15016.sg01.s01							Quem mete ao porco com vnguento de manjarona. s. quem quer tratar no que lhe nam arma		 Quem mete ao porco com vnguento de manjarona . s . quem quer tratar no que lhe nam arma 	
lexicalSense:n15017.sg01.s01							nam val nada adeuinho. 		 nam val nada adeuinho . 	Dir-se-ha do que promete que ha de dar & nam da o que lhe pedem.
lexicalSense:n15018.sg01.s01							Pera nada presta. & de nada tem cuydado. 		 Pera nada presta . & de nada tem cuydado . 	Dir-se-a do negligẽte & desmazalado.
lexicalSense:n15019.sg01.s01							Nã ahi cousa mais doce que saber tudo		 Nã ahi cousa mais doce que saber tudo 	
lexicalSense:n15020.sg01.s01							Nada manda da gema. 		 Nada manda da gema . 	Dir-se-ha dos que guardão ho bõ pera si. & mandam ho pior. Tomou desta fabula. hum sonhou que via hum ouo estar pindurado da sua cama consultou com hum adeuinho que seria aquilo respondeo ser sinal de tisouro & que cauasse ali. & cauando achou muyto ouro cuberto com prata. tomou da prata & mandou ao adeuinho hũa pouca & elle respondeo que lhe nam mandaua da gema senam da crara.
lexicalSense:n15021.sg01.s01							ninguẽ desespere tendo a Deos por guia		 ninguẽ desespere tendo a Deos por guia 	
lexicalSense:n15022.sg01.s01										Isto diremos aos magros & amarelos como foy Cherophon poeta tragico.
lexicalSense:n15023.sg01.s01							Não ahi cousa de todo perfeyta		 Não ahi cousa de todo perfeyta 	
lexicalSense:n15024.sg01.s01							nam ahi cousa mais miserauel que saber-se dalgũa maldade		 nam ahi cousa mais miserauel que saber - se dalgũa maldade 	
lexicalSense:n15025.sg01.s01							Ainda nam		 Ainda nam 	
lexicalSense:n15026.sg01.s01							Homem pera pouco		 Homem pera pouco 	
lexicalSense:n15027.sg01.s01							Estimar em pouco		 Estimar em pouco 	
lexicalSense:n15028.sg01.s01							Todauia		 Todauia 	
lexicalSense:n15029.sg01.s01							duo nomina. nem por isso menos		 duo nomina . nem por isso menos 	
lexicalSense:n15030.sg01.s01							nam ahi milhor cousa que a boa obra feyta a seu tempo		 nam ahi milhor cousa que a boa obra feyta a seu tempo 	
lexicalSense:n15031.sg01.s01							Nã ahi mayor vaidade que saber muitas sciencias		 Nã ahi mayor vaidade que saber muitas sciencias 	
lexicalSense:n15032.sg01.s01							Não ahi cousa menos proueitosa que adubar ho campo ẽ demasia senão temperadamente		 Não ahi cousa menos proueitosa que adubar ho campo ẽ demasia senão temperadamente 	
lexicalSense:n15033.sg01.s01							Nada se pode acrecentar nem tirar. 		 Nada se pode acrecentar nem tirar . 	Dir-se-ha das cousas perfeytas.
lexicalSense:n15034.sg01.s01							Nada aproueitara ho alho siluestre pera incitar a luxuria se ahi nam ouuer forças. s. pouco aproueyta ho estudo aonde nam ha engenho		 Nada aproueitara ho alho siluestre pera incitar a luxuria se ahi nam ouuer forças . s . pouco aproueyta ho estudo aonde nam ha engenho 	
lexicalSense:n15035.sg01.s01							Não se ha de engeytar o que nos dão		 Não se ha de engeytar o que nos dão 	
lexicalSense:n15036.sg01.s01							Nã ahi cousa boa. 		 Nã ahi cousa boa . 	Isto se dira dos que desprezão o que lhe amostram. ou o que vem.
lexicalSense:n15037.sg01.s01							Nam ahi cousa saã nem perfeyta		 Nam ahi cousa saã nem perfeyta 	
lexicalSense:n15038.sg01.s01										Dir-se-ha das cousas que sam diferentes.
lexicalSense:n15039.sg01.s01										Isto se dira contra os que negam as cousas manifestas que dizem que azeitona he mole de dentro & a noz mole de fora.
lexicalSense:n15040.sg01.s01							Ho chuueyro		 Ho chuueyro 	
lexicalSense:n15041.sg01.s01							Cousa que traz chuua		 Cousa que traz chuua 	
lexicalSense:n15042.sg01.s01							A arredoma		 A arredoma 	
lexicalSense:n15043.sg01.s01							Cousa ventosa. ou chuuosa		 Cousa ventosa . ou chuuosa 	
lexicalSense:n15044.sg01.s01							Certamente		 Certamente 	
lexicalSense:n15045.sg01.s01							Demasiadamente		 Demasiadamente 	
lexicalSense:n15046.sg01.s01							Cousa demasiada		 Cousa demasiada 	
lexicalSense:n15047.sg01.s01							A esposa		 A esposa 	
lexicalSense:n15048.sg01.s01							Ho esposo		 Ho esposo 	
lexicalSense:n15049.sg01.s01							Ho bãdo das molheres		 Ho bãdo das molheres 	
lexicalSense:n15050.sg01.s01							Neuar		 Neuar 	
lexicalSense:n15051.sg01.s01										Dir-se-ha dos grandes males & desauenturas que acontecerem a hũa molher. porque Niobe foy hũa rainha que por sua soberba vio filhos. & filhas. & marido todos mortos. & ella de muyto chorar se tornou em pedra.
lexicalSense:n15052.sg01.s01										Isto se dira quãdo por causa de honra. ou de medo deyxamos de dizer algũa cousa enjuriosa contra alguem.
lexicalSense:n15053.sg01.s01							Se nam alimpares. & moeres não comeras. 		 Se nam alimpares . & moeres não comeras . 	Da a entender que sem trabalho nada se pode fazer.
lexicalSense:n15054.sg01.s01							Se nam lhe quebrarem as pernas nam podera morrer. 		 Se nam lhe quebrarem as pernas nam podera morrer . 	Dir-se-ha dos maos que por mais que os deytem fora nã Deyxam de tornar.
lexicalSense:n15055.sg01.s01							Senam		 Senam 	
lexicalSense:n15056.sg01.s01							Se nã se ho vio algum passaro. 		 Se nã se ho vio algum passaro . 	Dir-se-ha das cousas feytas ẽ segredo que as achamos descubertas que parece que algũa aue voou & as vio.
lexicalSense:n15057.sg01.s01							Nadar cõtra a corrente. s. polo rio ariba. 		 Nadar cõtra a corrente . s . polo rio ariba . 	Dir-se-ha dos que falam o que sintem sem lisongear.
lexicalSense:n15058.sg01.s01							Cousa estribada		 Cousa estribada 	
lexicalSense:n15059.sg01.s01							Ho estribamento		 Ho estribamento 	
lexicalSense:n15060.sg01.s01							Ho gauiam. ou esmirilhão		 Ho gauiam . ou esmirilhão 	
lexicalSense:n15061.sg01.s01							A lumieyra de noyte		 A lumieyra de noyte 	
lexicalSense:n15062.sg01.s01							O rato do campo		 O rato do campo 	
lexicalSense:n15063.sg01.s01							Ho mondador dos dentes		 Ho mondador dos dentes 	
lexicalSense:n15064.sg01.s01							Resplandecer		 Resplandecer 	
lexicalSense:n15065.sg01.s01							A limpeza. ou ho resplandor		 A limpeza . ou ho resplandor 	
lexicalSense:n15066.sg01.s01							Alimpar. ou fazer luzio		 Alimpar . ou fazer luzio 	
lexicalSense:n15067.sg01.s01							Cousa luzidia. ou resplãdecente		 Cousa luzidia . ou resplãdecente 	
lexicalSense:n15068.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n15069.sg01.s01							Ho resplandor		 Ho resplandor 	
lexicalSense:n15070.sg01.s01							estribar. ou fazer fincape		 estribar . ou fazer fincape 	
lexicalSense:n15071.sg01.s01							Cousa mesturada com salitre		 Cousa mesturada com salitre 	
lexicalSense:n15072.sg01.s01							A mina do salitre		 A mina do salitre 	
lexicalSense:n15073.sg01.s01							Cousa chea de salitre		 Cousa chea de salitre 	
lexicalSense:n15074.sg01.s01							Ho salitre		 Ho salitre 	
lexicalSense:n15075.sg01.s01							Não laues cabeça dasno cõ salitre. s. nam faças gastos em cousa vil & de pouco preço		 Não laues cabeça dasno cõ salitre . s . nam faças gastos em cousa vil & de pouco preço 	
lexicalSense:n15076.sg01.s01							Cousa de neue. ou fria		 Cousa de neue . ou fria 	
lexicalSense:n15077.sg01.s01							Cousa de neue		 Cousa de neue 	
lexicalSense:n15078.sg01.s01							Cousa chea de neue		 Cousa chea de neue 	
lexicalSense:n15079.sg01.s01							Cousa toda de neue. ou branca		 Cousa toda de neue . ou branca 	
lexicalSense:n15080.sg01.s01							Cousa chea de neue		 Cousa chea de neue 	
lexicalSense:n15081.sg01.s01							A neue		 A neue 	
lexicalSense:n15082.sg01.s01										Dir-se-ha das cousas que nã tem duuida como a neue ser alua.
lexicalSense:n15083.sg01.s01							Ho estribar. ou dor de parto		 Ho estribar . ou dor de parto 	
lexicalSense:n15084.sg01.s01							Ho estribar no giolho		 Ho estribar no giolho 	
lexicalSense:n15085.sg01.s01							Nadar		 Nadar 	
lexicalSense:n15086.sg01.s01							Cousa nobre. ou notauel		 Cousa nobre . ou notauel 	
lexicalSense:n15087.sg01.s01							A nobresa. ou fidalguia		 A nobresa . ou fidalguia 	
lexicalSense:n15088.sg01.s01							Nobre & notauelmente		 Nobre & notauelmente 	
lexicalSense:n15089.sg01.s01							Ennobrecer. ou fazer nobre		 Ennobrecer . ou fazer nobre 	
lexicalSense:n15090.sg01.s01							Ho ennobrecer		 Ho ennobrecer 	
lexicalSense:n15091.sg01.s01							Com nos outros		 Com nos outros 	
lexicalSense:n15092.sg01.s01							Empecer		 Empecer 	
lexicalSense:n15093.sg01.s01							Cousa dannosa. ou empecente		 Cousa dannosa . ou empecente 	
lexicalSense:n15094.sg01.s01							Anoytecer		 Anoytecer 	
lexicalSense:n15095.sg01.s01							De noyte luzẽte. & de dia sem proueito. 		 De noyte luzẽte . & de dia sem proueito . 	Dir-se-ha dos que se fazem sabios entre neceos. & entre os sabios nam sabem nada.
lexicalSense:n15096.sg01.s01							noites & dias. s. de cõtino		 noites & dias . s . de cõtino 	
lexicalSense:n15097.sg01.s01							Cousa de cor de noite		 Cousa de cor de noite 	
lexicalSense:n15098.sg01.s01							Cousa que luz de noite		 Cousa que luz de noite 	
lexicalSense:n15099.sg01.s01							A facha de noite		 A facha de noite 	
lexicalSense:n15100.sg01.s01							A mea noite		 A mea noite 	
lexicalSense:n15101.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n15102.sg01.s01							Cousa que anda de noyte		 Cousa que anda de noyte 	
lexicalSense:n15103.sg01.s01							Cousa que vee de noyte		 Cousa que vee de noyte 	
lexicalSense:n15104.sg01.s01							De noyte		 De noyte 	
lexicalSense:n15105.sg01.s01							Cousa de noyte		 Cousa de noyte 	
lexicalSense:n15106.sg01.s01										Dir-se-ha dos que tem certeza nas cousas. porque ho nauegar de noite dizẽ ser certo por amor das estrellas.
lexicalSense:n15107.sg01.s01							A peleja de noyte. 		 A peleja de noyte . 	Dir-se-ha das cousas perigosas. ou paruoas.
lexicalSense:n15108.sg01.s01							A curuja		 A curuja 	
lexicalSense:n15109.sg01.s01							Boa noua. 		 Boa noua . 	porque os Atheniẽses tinhão por boa estrea quãdo viam curujas.
lexicalSense:n15111.sg01.s01							Cousa de curuja		 Cousa de curuja 	
lexicalSense:n15112.sg01.s01							Ouo de curuja. 		 Ouo de curuja . 	Dir-se-ha das cousas de pouco preço. ou que sam maas de achar.
lexicalSense:n15113.sg01.s01							noytes. & dias. s. de contino		 noytes . & dias . s . de contino 	
lexicalSense:n15114.sg01.s01							De hũa maneira cãta a curuja. & de outra a gralha. 		 De hũa maneira cãta a curuja . & de outra a gralha . 	Dir-se-ha dos que contendẽ com os mais sabios. ou dos que desconcordam nos costumes.
lexicalSense:n15115.sg01.s01							Curuja entre gralhas dos que caẽ nas mãos dos imigos		 Curuja entre gralhas dos que caẽ nas mãos dos imigos 	
lexicalSense:n15116.sg01.s01							Ho empecimento. ou danno		 Ho empecimento . ou danno 	
lexicalSense:n15117.sg01.s01							Cousa que empece. ou danosa		 Cousa que empece . ou danosa 	
lexicalSense:n15118.sg01.s01							Mal foy & sera peor. se nã ouuer emenda		 Mal foy & sera peor . se nã ouuer emenda 	
lexicalSense:n15119.sg01.s01							Atar		 Atar 	
lexicalSense:n15120.sg01.s01							Ho atar		 Ho atar 	
lexicalSense:n15121.sg01.s01							Armar a besta		 Armar a besta 	
lexicalSense:n15122.sg01.s01							Ho noo		 Ho noo 	
lexicalSense:n15123.sg01.s01							Buscas nò no junco. 		 Buscas nò no junco . 	Dir-se-ha dos que duuidam aonde nam hão de duuidar.
lexicalSense:n15124.sg01.s01							Desemburulhar hũa cousa emburulhada		 Desemburulhar hũa cousa emburulhada 	
lexicalSense:n15125.sg01.s01							A laçada		 A laçada 	
lexicalSense:n15126.sg01.s01							Cousa chea de nos		 Cousa chea de nos 	
lexicalSense:n15127.sg01.s01							não querer		 não querer 	
lexicalSense:n15128.sg01.s01							Por mal. ou por bem		 Por mal . ou por bem 	
lexicalSense:n15129.sg01.s01							Ho pasto		 Ho pasto 	
lexicalSense:n15130.sg01.s01							Ho cancro doença		 Ho cancro doença 	
lexicalSense:n15131.sg01.s01							Ho nome. ou a diuida		 Ho nome . ou a diuida 	
lexicalSense:n15132.sg01.s01							Conhecido de nome somente		 Conhecido de nome somente 	
lexicalSense:n15133.sg01.s01										Dir-se-ha do que tem pouca memoria que se esquece do nome de seu pay.
lexicalSense:n15134.sg01.s01										Dir-se-ha do esquecidiço que do seu nome se nam alembra.
lexicalSense:n15135.sg01.s01							Escreuer-se		 Escreuer - se 	
lexicalSense:n15136.sg01.s01							Ho que sabe ho nome a todos		 Ho que sabe ho nome a todos 	
lexicalSense:n15137.sg01.s01							Ho saber ho nome a todos		 Ho saber ho nome a todos 	
lexicalSense:n15138.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n15139.sg01.s01							Nomear		 Nomear 	
lexicalSense:n15140.sg01.s01							Ho nomear		 Ho nomear 	
lexicalSense:n15141.sg01.s01							Nomeadamente		 Nomeadamente 	
lexicalSense:n15142.sg01.s01							ho guardador da ley		 ho guardador da ley 	
lexicalSense:n15143.sg01.s01							nam		 nam 	
lexicalSense:n15144.sg01.s01										Dir-se-ha das cousas rusticas que nam nasceram do hymeto mõte de Athenas senam da eira barbara como forã os pouos de Syria.
lexicalSense:n15145.sg01.s01							nam descõfiar		 nam descõfiar 	
lexicalSense:n15146.sg01.s01										Dir-se-ha dos que fazem algo com ajuda doutrem. porque Theseo sempre ajudaua a todos os fortes varões em suas auenturas como a Meleagro pera matar o porco de Caledonia & a Peritho contra os Cẽtauros. & a Hercules quãdo foi ao inferno & todos os forgicadores chamamos agora theceos.
lexicalSense:n15147.sg01.s01										Dir-se-ha dos que nem podem fazer mal nem bem. porque os que misturã as cousas sam os poderosos como foy Pericles que tudo emburulhaua com sua eloquẽtia.
lexicalSense:n15148.sg01.s01							nam he bom capitão senam o que bem obedeceo		 nam he bom capitão senam o que bem obedeceo 	
lexicalSense:n15149.sg01.s01							nam dorme se não fizer isto. ou aquillo. 		 nam dorme se não fizer isto . ou aquillo . 	Dir-se-ha dos que sam demasiadamente cobiçosos. que não dormẽ se nam fizerem o que cobiçam.
lexicalSense:n15150.sg01.s01							nam auemos de desconfiar nas aduersidades		 nam auemos de desconfiar nas aduersidades 	
lexicalSense:n15151.sg01.s01							nam se trata de azãbujeyro. s. de cousas de pouca substancia senam de muyto siso. 		 nam se trata de azãbujeyro . s . de cousas de pouca substancia senam de muyto siso . 	porque nas lutas & cõtendas se coroauam os vencedores de coroas de azambujo.
lexicalSense:n15152.sg01.s01							he hũ & parece outro		 he hũ & parece outro 	
lexicalSense:n15153.sg01.s01							nam cõ pouco impeto como he com varas & remos senam com todas as velas		 nam cõ pouco impeto como he com varas & remos senam com todas as velas 	
lexicalSense:n15154.sg01.s01							Do contado come ho lobo		 Do contado come ho lobo 	
lexicalSense:n15155.sg01.s01							Mal parece ao capitam dormir toda a noyte		 Mal parece ao capitam dormir toda a noyte 	
lexicalSense:n15156.sg01.s01										Dir-se-ha dos que tem pouca deuaçam que comem o que estâ pera offertar.
lexicalSense:n15157.sg01.s01							Não consta de pao. nem de pedra. 		 Não consta de pao . nem de pedra . 	Dir-se-ha das cousas que nã sam de materia. senam de espirito.
lexicalSense:n15158.sg01.s01							Não de todo pao se finge Mercurio. vide Mercurius		 Não de todo pao se finge Mercurio . vide Mercurius 	
lexicalSense:n15159.sg01.s01							Ia nã ahi espinhas. 		 Ia nã ahi espinhas . 	Dir-se-ha do que vay de mal pera milhor. como as terras que sendo matos se fazem campos abondosos.
lexicalSense:n15160.sg01.s01							Nam ser do numero. ou conto. 		 Nam ser do numero . ou conto . 	Tomou da tauoa brãca onde estauam escritos os nomes dos juyzes.
lexicalSense:n15161.sg01.s01							Nã he amigo o que ho deyxa de ser		 Nã he amigo o que ho deyxa de ser 	
lexicalSense:n15162.sg01.s01							Nã se djz ter bem quem delle não gosta		 Nã se djz ter bem quem delle não gosta 	
lexicalSense:n15163.sg01.s01							Nam he de quem quer aportar a Corintho		 Nam he de quem quer aportar a Corintho 	
lexicalSense:n15164.sg01.s01							Nam tem disso cuydado Hippoclides. 		 Nam tem disso cuydado Hippoclides . 	Dir-se-ha do que nam tem cõta com nada. porque Hippoclides por baylar desonestamẽte em hũ bãquete hũ que auia de ser seu sogro lhe disse. que por isso não lhe daria a filha. & elle respõdeo. Não tem conta com isso Hippoclides.
lexicalSense:n15165.sg01.s01							Nam se diz ser bom verso se ho poëta não bebe vinho		 Nam se diz ser bom verso se ho poëta não bebe vinho 	
lexicalSense:n15166.sg01.s01							Nã pode hũ dizer muyto & bẽ		 Nã pode hũ dizer muyto & bẽ 	
lexicalSense:n15167.sg01.s01							Não merece louuor. nem ainda na cea funeral. 		 Não merece louuor . nem ainda na cea funeral . 	Dir-se-ha dos que não sam dignos de louuor. porque em Athenas se louuauã os defuntos. ainda que nam fossem merecedores.
lexicalSense:n15169.sg01.s01							Não ahi azeyte na almotolia. 		 Não ahi azeyte na almotolia . 	Dir-se-ha quando nã ouuer lugar de misericordia. porque estas duas palauras. eleom & eleos. se parecem ambas & hũa soa azeyte. & outra misericordia.
lexicalSense:n15170.sg01.s01										Isto se dirâ quando lisongearmos alguem. dizendo que he hum grande caualeyro. como foy Achiles.
lexicalSense:n15171.sg01.s01										Dir-se-ha do pobrissimo que nam tem hũa pelle sobre que durma.
lexicalSense:n15172.sg01.s01							Nam vem aqui ter os homens de bem		 Nam vem aqui ter os homens de bem 	
lexicalSense:n15173.sg01.s01										Dir-se-ha dos que nam cumprẽ o que escreueram. ou dos que dizem hũa cousa & fazem outra. porque Leuceus foy hum escriuão falsario que hũa cousa era & outra escreuia.
lexicalSense:n15174.sg01.s01							Nam andas por cima do fogo. 		 Nam andas por cima do fogo . 	Isto diremos aos que se apressam muyto.
lexicalSense:n15175.sg01.s01										Dir-se-ha do que não presta pera nenhũa cousa. porque ho arado sem dente nada val.
lexicalSense:n15176.sg01.s01							Não se ha de estoruar o que tẽ fome. 		 Não se ha de estoruar o que tẽ fome . 	porque quem tem cor de comer não gosta de praticar.
lexicalSense:n15177.sg01.s01							Nam tira a gota ho bom calçado. 		 Nam tira a gota ho bom calçado . 	Dá entẽder. que as riquezas nã liuram a seus donos das doenças.
lexicalSense:n15179.sg01.s01							Nos trabalhos não ha mister choro. senã socorro		 Nos trabalhos não ha mister choro . senã socorro 	
lexicalSense:n15180.sg01.s01							Tanto aborreço como a hum cão. 		 Tanto aborreço como a hum cão . 	Isto diremos ao que tiuermos odio.
lexicalSense:n15181.sg01.s01							Assi lhe perdoaremos como aos lobos. 		 Assi lhe perdoaremos como aos lobos . 	Isto se dirâ aos que não quisermos perdoar. porque quem mataua lobo tinha de premio dous talentos.
lexicalSense:n15182.sg01.s01							Falar cousas que não sam pera dizer		 Falar cousas que não sam pera dizer 	
lexicalSense:n15183.sg01.s01							Bules cũ cousas que não sam pera bulir		 Bules cũ cousas que não sam pera bulir 	
lexicalSense:n15184.sg01.s01										Isto diremos quando amoestarmos. que ponhamos regra no gasto. porque os que nauegam pera os Hypolaitas. moradores de Ipola. cidade de Lacedemonia. faziam muyto proueyto em suas mercadorias.
lexicalSense:n15185.sg01.s01							Não tẽs certeza. Vide noctu nauigare		 Não tẽs certeza . Vide noctu nauigare 	
lexicalSense:n15186.sg01.s01										Dir-se-ha quando nos derem cargo que não seja pertencente pera nos. como he hum boy quando traz albarda.
lexicalSense:n15187.sg01.s01							Nem todos os que tẽ viola sam tangedores		 Nem todos os que tẽ viola sam tangedores 	
lexicalSense:n15188.sg01.s01							Nem todos podemos tudo		 Nem todos podemos tudo 	
lexicalSense:n15189.sg01.s01							Não vem tudo a lume quãto poseres na vontade		 Não vem tudo a lume quãto poseres na vontade 	
lexicalSense:n15190.sg01.s01							Não acontece a todos saber tudo		 Não acontece a todos saber tudo 	
lexicalSense:n15191.sg01.s01							Não durmo pera todos. s. nem a todos faço a vontade. 		 Não durmo pera todos . s . nem a todos faço a vontade . 	Tomou de algum Romano. que fingia dormir pera ho outro lhe ter parte com a molher.
lexicalSense:n15192.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n15193.sg01.s01							Cada terra da sua cousa. que não podẽ todas dar tudo. 		 Cada terra da sua cousa . que não podẽ todas dar tudo . 	Dâ a entẽder. que nã podẽ todos ser de hũa cõdiçã nẽ dũ engenho.
lexicalSense:n15194.sg01.s01							Não conuem ao estrangeyro ser sempre estrangeyro. s. que ho homem não ha de ser sempre nouel nas cousas que tratar		 Não conuem ao estrangeyro ser sempre estrangeyro . s . que ho homem não ha de ser sempre nouel nas cousas que tratar 	
lexicalSense:n15195.sg01.s01							Não me faras crêr isso. ia inda que mo faças crêr		 Não me faras crêr isso . ia inda que mo faças crêr 	
lexicalSense:n15196.sg01.s01							Não choue de aquella noyte em que pario a porca montesa. 		 Não choue de aquella noyte em que pario a porca montesa . 	Dir-se-ha quando esta tudo assossegado despois de deitar fora algum reuoltoso ou de fazer a võtade algum brigoso. ou pechoso. porque as porcas montesas parẽ sẽpre polo Iunho. ou fim de Mayo. & dahi por diãte não choue.
lexicalSense:n15197.sg01.s01							Tanto ho estimo como a hum bugio		 Tanto ho estimo como a hum bugio 	
lexicalSense:n15198.sg01.s01							Nã posso deyxar de dizer		 Nã posso deyxar de dizer 	
lexicalSense:n15199.sg01.s01										Dir-se-ha dos que dizem ser hũa cousa bem feyta. porem que nam ha de contentar aos de mâ incrinaçam.
lexicalSense:n15200.sg01.s01							Não acõtecera tudo quãto desejares		 Não acõtecera tudo quãto desejares 	
lexicalSense:n15201.sg01.s01							Nenhũ porco sabera isto. 		 Nenhũ porco sabera isto . 	Dir-se-ha das cousas puras & limpas que nam vem a noticia dos çujos & velhacos.
lexicalSense:n15202.sg01.s01							Nẽ sempre serâ verão aparelhay os ninhos. 		 Nẽ sempre serâ verão aparelhay os ninhos . 	Dâ a entender que no tẽpo da mocidade busquemos onde nos recolhamos na velhice. ou na bonança prouejamo-nos pera aduersidade.
lexicalSense:n15203.sg01.s01							Nam sem võtade de Deos		 Nam sem võtade de Deos 	
lexicalSense:n15204.sg01.s01							Nam sam sos os Atrides que amam suas molheres. 		 Nam sam sos os Atrides que amam suas molheres . 	Dâ a entender que cada hum sinte seu mal. como Agamenõ & Menalao âs bragãtarias de suas molheres.
lexicalSense:n15205.sg01.s01							nẽ logo emos de pelejar. 		 nẽ logo emos de pelejar . 	Da a entẽder que primeiro se ha de atẽtar tudo que venhamos a guerra.
lexicalSense:n15206.sg01.s01							Nem logo se pode saber o fim do que ha de ser. 		 Nem logo se pode saber o fim do que ha de ser . 	Dâ a entender que ho principio he hum. & o fim pode ser outro.
lexicalSense:n15208.sg01.s01							Nam so adeuinho		 Nam so adeuinho 	
lexicalSense:n15209.sg01.s01							O mesmo. 		 O mesmo . 	porque Aedipo Rey de Tebas adeuinhou do monstro Tebano.
lexicalSense:n15210.sg01.s01							Não sou do conto destes grandes senhores. que antes fazem mal que bem. s. nem faço mal nem bem		 Não sou do conto destes grandes senhores . que antes fazem mal que bem . s . nem faço mal nem bem 	
lexicalSense:n15211.sg01.s01							Nam emos de tomar algum negotio sem tento senam com siso		 Nam emos de tomar algum negotio sem tento senam com siso 	
lexicalSense:n15212.sg01.s01							Tomar com ambas as mãos. 		 Tomar com ambas as mãos . 	Dir-se-ha das cousas escorregadias & difficultosas que se hão de tomar com grande força.
lexicalSense:n15213.sg01.s01							Nam pera que primeyro faça mal. senão pera vingar-me do agrauo que me foy feito. 		 Nam pera que primeyro faça mal . senão pera vingar - me do agrauo que me foy feito . 	Isto diraa todo ho homem de bem. que nam quer fazer mal se lho não fizerem.
lexicalSense:n15214.sg01.s01							Fazer fincapê sobre anchora forte. 		 Fazer fincapê sobre anchora forte . 	Dir-se-ha dos que fazẽ fundamẽto sobre cousas firmes.
lexicalSense:n15215.sg01.s01							Bem sey		 Bem sey 	
lexicalSense:n15216.sg01.s01							Nam quebres amizade		 Nam quebres amizade 	
lexicalSense:n15217.sg01.s01							Nã somente. quãto mais		 Nã somente . quãto mais 	
lexicalSense:n15218.sg01.s01			prouer. 				nã es diligẽte		 nã es diligẽte 	
lexicalSense:n15219.sg01.s01							Algũa cousa		 Algũa cousa 	
lexicalSense:n15220.sg01.s01							As nonas do mes		 As nonas do mes 	
lexicalSense:n15221.sg01.s01							Nouenta		 Nouenta 	
lexicalSense:n15222.sg01.s01							Cousa de nouẽta annos		 Cousa de nouẽta annos 	
lexicalSense:n15223.sg01.s01							De nouenta ẽ nouenta		 De nouenta ẽ nouenta 	
lexicalSense:n15224.sg01.s01							Ho pardao		 Ho pardao 	
lexicalSense:n15225.sg01.s01							Cousa de nouẽta ẽ ordẽ		 Cousa de nouẽta ẽ ordẽ 	
lexicalSense:n15226.sg01.s01							nouenta vezes		 nouenta vezes 	
lexicalSense:n15227.sg01.s01							A molher solteyra		 A molher solteyra 	
lexicalSense:n15228.sg01.s01							Ainda nam		 Ainda nam 	
lexicalSense:n15229.sg01.s01							Cousa de nouecentos ẽ numero		 Cousa de nouecentos ẽ numero 	
lexicalSense:n15230.sg01.s01							Cousa de nouecentos em ordem		 Cousa de nouecentos em ordem 	
lexicalSense:n15231.sg01.s01							Nouecẽtas vezes		 Nouecẽtas vezes 	
lexicalSense:n15232.sg01.s01							Cousa de nouecentos		 Cousa de nouecentos 	
lexicalSense:n15233.sg01.s01							De nouecẽtos ẽ nouecẽtos		 De nouecẽtos ẽ nouecẽtos 	
lexicalSense:n15234.sg01.s01							Pola vẽtura nã		 Pola vẽtura nã 	
lexicalSense:n15235.sg01.s01							Algũa cousa		 Algũa cousa 	
lexicalSense:n15236.sg01.s01							Ho peso de noue onças		 Ho peso de noue onças 	
lexicalSense:n15237.sg01.s01							Aas vezes		 Aas vezes 	
lexicalSense:n15238.sg01.s01							Noue ẽ ordẽ. ou hũ de noue		 Noue ẽ ordẽ . ou hũ de noue 	
lexicalSense:n15239.sg01.s01							Dezanoue		 Dezanoue 	
lexicalSense:n15240.sg01.s01							Ho real de prata		 Ho real de prata 	
lexicalSense:n15241.sg01.s01							A esquadra do pedreyro		 A esquadra do pedreyro 	
lexicalSense:n15242.sg01.s01							Cousa da esquadra		 Cousa da esquadra 	
lexicalSense:n15243.sg01.s01							Conhecer		 Conhecer 	
lexicalSense:n15244.sg01.s01							Ho mesmo		 Ho mesmo 	
lexicalSense:n15245.sg01.s01							Conhece-te a ti mesmo		 Conhece - te a ti mesmo 	
lexicalSense:n15246.sg01.s01							Conhece ho tẽpo pera não fazeres cousa fora de medida		 Conhece ho tẽpo pera não fazeres cousa fora de medida 	
lexicalSense:n15247.sg01.s01							Cousa que muyto conhece		 Cousa que muyto conhece 	
lexicalSense:n15248.sg01.s01							Cousa que se pode conhecer		 Cousa que se pode conhecer 	
lexicalSense:n15249.sg01.s01							Ho enfermeyro		 Ho enfermeyro 	
