lexicog.UsageExample	lexinfo.note	rdfs.label	rdfs.value.la	rdfs.value.pt	skos.note
usageExample:n1247.sg01.s99.u05		usus uarias artes meditando excùdit	 Usus varias artes meditando excùdit 	 o uso com cuidado , e diligencia inventou varias artes 	
usageExample:n1248.sg01.s99.u01		ea res mihi cerebrum excutit	 Ea res mihi cerebrum excutit 	 quebra me a cabeça 	
usageExample:n1248.sg01.s99.u02		mentem alicui excùtere	 Mentem alicui excùtere 	 tirar a alguem de seu juizo 	
usageExample:n1248.sg01.s99.u03		lacrymas excútere	 Lacrymas excútere 	 chorar 	
usageExample:n1248.sg01.s99.u04		iugum excútere	 Jugum excútere 	 naõ querer obedecer 	
usageExample:n1248.sg01.s99.u05		latrones me excussum dimiserunt	 Latrones me excussum dimiserunt 	 roubaraõ - me tudo , quanto puderaõ achar , deixaraõ - me sem cousa alguma 	
usageExample:n1248.sg10.s99.u01		cribrum excussorium	 cribrum excussorium 	 peneira de rolaõ 	
usageExample:n1249.sg01.s99.u01		irati de potestate exeunt	 Irati de potestate exeunt 	 sahem fora de si 	
usageExample:n1249.sg01.s99.u02		corpore tela exire	 Corpore tela exire 	 resguardar das lanças , ou fugir - lhe com o corpo 	
usageExample:n1249.sg01.s99.u03		in rigorem exiit	 In rigorem exiit 	 veio a dar em rigor , fez - se rigoroso 	
usageExample:n1249.sg01.s99.u04		haec uerba in easdem litteras exeunt	 Haec verba in easdem litteras exeunt 	 acabaõ , etc 	
usageExample:n1251.sg01.s99.u01		discordias cum aliquo exercére	 Discordias cum aliquo exercére 		i, habére.
usageExample:n1252.sg10.s01.u01		lingua exerta	 Lingua exerta 		
usageExample:n1253.sg01.s01.u01		aegritudo exest animum	 Aegritudo exest animum 		
usageExample:n1255.sg01.s01.u01		urbem bonis omnihus exhauríre	 Urbem bonis omnihus exhauríre 		
usageExample:n1255.sg01.s01.u02		perditorum hominum sententiam ex urbe exhauríre	 Perditorum hominum sententiam ex urbe exhauríre 		
usageExample:n1255.sg01.s99.u01		crassus sibi manu uitam exhausit	 Crassus sibi manu vitam exhausit 	 matou - se por suas mãos 	
usageExample:n1255.sg01.s99.u02		exhauriri humor, uel id, inquo humor continetur	 exhauriri humor , vel id , inquo humor continetur 		
usageExample:n1255.sg01.s99.u03		mandata alicuius exhaurire	 Mandata alicujus exhaurire 	 executar , acabar de fazer 	
usageExample:n1255.sg01.s99.u04		labores exhaurire	 labores exhaurire 	 acabar de sofrellos 	
usageExample:n1256.sg01.s99.u01		hic mihi negótium exhibuit	 Hic mihi negótium exhibuit 	 deo - me molestia 	
usageExample:n1257.sg01.s01.u01		poenas à se exigere	 Poenas à se exigere 	 castigar - se 	
usageExample:n1257.sg01.s99.u01		exigere uitam, aetatem, & c	 Exigere vitam , aetatem , & c 	 passar a vida , etc 	
usageExample:n1258.sg01.s99.u01		exiguò post	 Exiguò post 	 pouco depois 	
usageExample:n1259.sg01.s99.u01		gaudio exilit	 Gaudio exilit 	 salta de prazer 	
usageExample:n1263.sg01.s99.u01		religiòne aliquem exoluere	 Religiòne aliquem exolvere 	 tirar o escrupulo 	
usageExample:n1264.sg01.s01.u01		metu aliquem exonerare	 Metu aliquem exonerare 	 tirar o medo 	
usageExample:n1264.sg01.s01.u02		humerum pallio exonerare	 humerum pallio exonerare 	 tirar a capa 	
usageExample:n1264.sg01.s99.u01		multitudo per aegyptum exundans proximas in terras exonerata est	 Multitudo per Aegyptum exundans proximas in terras exonerata est 	 foi descarregada , ou dividida , etc 	
usageExample:n1265.sg01.s99.u01		exorbére difficultates	 Exorbére difficultates 	 tragar as difficuldades 	
usageExample:n1267.sg01.s02.u01		nunquàm me exoràuis, quin id faciam	 Nunquàm me exoràvis , quin id faciam 	 nunca me persuadireis com rogos , que naõ faça isso 	
usageExample:n1269.sg10.s99.u01		exossatus ager	 Exossatus ager 		apud Pers. id est, lapidibus plenus.
usageExample:n1271.sg01.s01.u01	Apud Virg.	expedire manus	 Expedire manus 	 levantar as mãos 	
usageExample:n1271.sg01.s01.u02		cererem canistris	 Cererem canistris 	 tirar fora o paõ , etc 	
usageExample:n1271.sg01.s02.u01		agedum hoc mihi expedit	 Agedum hoc mihi expedit 		
usageExample:n1271.sg01.s02.u02		uirgas expediri iussit	 Virgas expediri jussit 	 mandou trazer para fora 	
usageExample:n1273.sg01.s01.u01		urbe, uel ex urbe màlos expellere	 Urbe , vel ex urbe màlos expellere 		
usageExample:n1273.sg10.s01.u01		errorum expultrix philosophia	 Errorum expultrix Philosophia 		
usageExample:n1275.sg01.s99.u01		experiri sine casu, uel experìri iure	 Experiri sine casu , vel experìri jure 	 intentar demanda 	
usageExample:n1277.sg01.s02.u01		uirtus experta	 Virtus experta 		
usageExample:n1277.sg10.s01.u01		pacis, uel de pace expertus	 Pacis , vel de pace expertus 		
usageExample:n1278.sg01.s01.u01		aeger iam uitae expes	 Aeger jam vitae expes 		
usageExample:n1279.sg01.s99.u01		poenas, uel supplicium ab aliquo expetere	 Poenas , vel supplicium ab aliquo expetere 	 castigar 	
usageExample:n1280.sg01.s02.u01		curis animum explère	 Curis animum explère 	 alliviar o animo dos cuidados 	
usageExample:n1280.sg01.s99.u01		alicuius locum uacantem explere	 Alicujus locum vacantem explere 	 encher , ou substituir no lugar de alguem 	
usageExample:n1280.sg01.s99.u02		militum numerum explère	 Militum numerum explère 	 encher , refazer o numero 	
usageExample:n1281.sg01.s99.u01		aciem explicare	 Aciem explicare 	 formar o exercito 	
usageExample:n1281.sg01.s99.u02		litteris, uel epistolam explicare	 Litteris , vel epistolam explicare 	 abrir a carta 	
usageExample:n1281.sg01.s99.u03		làqueis, uel periculis se explicare	 Làqueis , vel periculis se explicare 		i, liberare
usageExample:n1281.sg01.s99.u04		liber explicitus	 Liber explicitus 	 livro acabado de todo 	
usageExample:n1283.sg01.s99.u01		pueri expositi	 Pueri expositi 	 meninos engeitados 	
usageExample:n1284.sg01.s99.u01		exposcere, uel deposcere aliquem	 Exposcere , vel deposcere aliquem 	 pedir , que se entregue alguem para ser castigado 	
usageExample:n1285.sg01.s01.u01		liquorem per linteum exprimere	 Liquorem per linteum exprimere 	 coar por panno 	
usageExample:n1285.sg01.s01.u02		uulnere saniem exprimere	 Vulnere saniem exprimere 	 espremer a peçonha da ferida 	
usageExample:n1285.sg01.s99.u01		uerbum uerbo exprimere	 Verbum verbo exprimere 	 explicar palavra por palavra 	
usageExample:n1285.sg01.s99.u02		ad uerbum, uel è uerbo	 Ad verbum , vel è verbo 	 á letra 	
usageExample:n1285.sg01.s99.u03		hoc parùm expressisti	 Hoc parùm expressisti 	 exprimiste , ou declaraste isto pouco 	
usageExample:n1285.sg01.s99.u04		faciem	 Faciem 	 retratar 	i, effigiem alicujus exprimere
usageExample:n1285.sg01.s99.u05		uictis, uel à uictis confessionem exprimere	 Victis , vel à victis confessionem exprimere 	 fazer por força confessar os vencidos 	
usageExample:n1285.sg01.s99.u06		pecuniam ab aliquo exprimere	 Pecuniam ab aliquo exprimere 	 tirar dinheiro por força 	
usageExample:n1286.sg01.s99.u01		rationes expungere	 Rationes expungere 	 acabar de fazer contas 	
usageExample:n1286.sg01.s99.u02		rationes dispungere	 Rationes Dispungere 	 examinallas 	
usageExample:n1287.sg01.s01.u01		ex multis exquiram unum amicum certum	 Ex multis exquiram unum amicum certum 	 escolherei 	
usageExample:n1290.sg01.s01.u01		mala persica externa lisitaniae	 Mala Persica externa Lisitaniae 	 os pessegos 	
usageExample:n1291.sg01.s99.u01		uocem silentio extinguere	 Vocem silentio extinguere 	 callar - se 	
usageExample:n1291.sg01.s99.u02		artificem ab inscio extinguere	 Artificem ab inscio extinguere 		pro Perfectè distinguere
usageExample:n1293.sg01.s01.u01		mihi extra unum te nemo mortalis placet	 Mihi extra unum te nemo mortalis placet 		
usageExample:n1293.sg30.s99.u01		extremo anni	 Extremo anni 	 no fim do anno 	
usageExample:n1293.sg30.s99.u02		extremo hyemis	 Extremo hyemis 	 no fim do inverno 	
usageExample:n1293.sg30.s99.u03		metúere extrema	 Metúere extrema 		i, mortem, apud Suet.
usageExample:n1294.sg01.s01.u01		felices sedibus, uel ex sedibus suis exturbare	 Felices sedibus , vel ex sedibus suis exturbare 		
usageExample:n1297.sg01.s99.u01		exuere se ex laqueis	 Exuere se ex laqueis 	 livrar - se dos laços , e prizoens 	
usageExample:n1301.sg01.s01.u01		praecepta facessere	 Praecepta facessere 		
usageExample:n1301.sg01.s99.u01		negotium alicui facessere	 Negotium alicui facessere 	 molestar 	
usageExample:n1301.sg01.s99.u02		periculum	 periculum 	 meter em perigo 	
usageExample:n1303.sg01.s03.u01		detraxit tibi uestem? factum	 Detraxit tibi vestem ? Factum 		
usageExample:n1303.sg01.s99.u01		facere iacturam, uel damnum	 Facere jacturam , vel damnum 	 padecer jactura , ou dano 	
usageExample:n1303.sg01.s99.u02		uela facere	 Vela facere 	 dar á vela 	
usageExample:n1303.sg01.s99.u03		gratiam alicuius rei facere	 Gratiam alicujus rei facere 	 perdoar alguma cousa 	
usageExample:n1303.sg01.s99.u04		stipendia sub aliquo facere	 Stipendia sub aliquo facere 	 militar , ou ser soldado de alguem 	
usageExample:n1303.sg01.s99.u05		aegré alicui facere	 Aegré alicui facere 	 molestar 	
usageExample:n1303.sg01.s99.u06		alicui gradum facere	 Alicui gradum facere 	 promover 	
usageExample:n1303.sg01.s99.u07		copiam, & potestatem facere	 Copiam , & potestatem facere 	 permittir , conceder 	
usageExample:n1303.sg01.s99.u08		iudex omnibus sui conueniendi potestatem, uel copiam facit	 Judex omnibus sui conveniendi potestatem , vel copiam facit 	 deixa entrar todos para tratarem com elle seus negocios 	
usageExample:n1303.sg01.s99.u09		argentáriam facere	 Argentáriam facere 	 exercitar o officio de bater moeda , ou de cambiador 	
usageExample:n1303.sg01.s99.u10		facere ad aliquid	 Facere ad aliquid 	 ser de proveito , ou utilidade para alguma cousa 	
usageExample:n1303.sg01.s99.u11		cum aliquo facere	 Cum aliquo facere 	 seguir , ou favorecer as partes , ou opiniaõ de alguem 	
usageExample:n1303.sg01.s99.u12		uitium facere	 Vitium facere 		dicitur aedificium, cùm aliqua parte labefactatur.
usageExample:n1303.sg01.s99.u13		periculum facere	 Periculum facere 	 experimentar , provar , tentar 	
usageExample:n1303.sg01.s99.u14		modum alicuius rei facere	 Modum alicujus rei facere 	 naõ ser nimio em alguma cousa 	
usageExample:n1303.sg01.s99.u15		fac ita esse	 Fac ita esse 	 seja assim , ou dou - vos que assim seja 	pormittentis, & concedentis est locutio
usageExample:n1303.sg01.s99.u16		ne longum faciam	 Ne longum faciam 		i, ut breviter dicam.
usageExample:n1303.sg01.s99.u17		haud muto factum	 Haud muto factum 	 naõ me arrependo , naõ mudo de parecer 	
usageExample:n1304.sg01.s99.u01		fallere tempus	 Fallere tempus 	 passar o tempo 	
usageExample:n1304.sg01.s99.u02		fallere laborem, curas, & c	 Fallere Laborem , curas , & c 	 fazer com que se naõ sinta o trabalho , etc 	
usageExample:n1304.sg01.s99.u03		spem, & opinionem fefellit	 Spem , & opinionem fefellit 	 naõ fez como se cuidava delle 	
usageExample:n1304.sg01.s99.u04		id me non fallit	 Id me non fallit 	 naõ ignoro isso 	
usageExample:n1304.sg01.s99.u05		falsus es, uel falleris	 Falsus es , vel falleris 	 errais , enganais - vos 	
usageExample:n1304.sg01.s99.u06		ea res me falsum habuit	 Ea res me falsum habuit 	 enganou - me 	
usageExample:n1304.sg01.s99.u07		falsus animi est	 Falsus animi est 	 naõ lhe succedeo , como cuidava 	
usageExample:n1305.sg01.s99.u01		fames melia	 Fames Melia 		i, extrema.
usageExample:n1306.sg01.s02.u01		arbor ulyssiponi familiaris	 Arbor Ulyssiponi familiaris 	 que se dá bem a cada passo em Lisboa 	
usageExample:n1308.sg01.s01.u01		far triticum	 Far triticum 	 trigo 	
usageExample:n1308.sg01.s01.u02		far hordeáceum	 Far Hordeáceum 	 cevada 	
usageExample:n1308.sg01.s01.u03		far adoreum, uel ador	 Far Adoreum , vel Ador 	 o trigo candeal , ou branco 	
usageExample:n1309.sg01.s99.u01		farcire pannum in os	 Farcire pannum in os 	 arrolhar a bocca 	
usageExample:n1310.sg01.s99.u01		fas, & iura	 Fas , & jura 		i, divina, e humana.
usageExample:n1312.sg01.s01.u01		dies fasti	 Dies fasti 	 dias , em que ha audiencia 	
usageExample:n1312.sg01.s01.u02		dies nefasti	 Dies Nefasti 	 em que naõ ha audiencia 	
usageExample:n1319.sg01.s02.u01		solum crebris segetibus fatiscit	 Solum crebris segetibus fatiscit 	 a terra cança com sementeiras continuas 	
usageExample:n1320.sg01.s99.u01		bolus è faucibus alicui èripi	 Bolus è faucibus alicui èripi 	 como se lhe tirassem o bocado da garganta 	dicitur, quoties commóditas aliqua, quae jam propémodum tenebatur, inopinato illi praeripitur
usageExample:n1321.sg01.s02.u01		linguis, uel ore fauére	 Linguis , vel ore favére 		
usageExample:n1323.sg01.s02.u01		seditionis, uel accusationis fax	 Seditionis , vel accusationis fax 		
usageExample:n1323.sg01.s02.u02		alicui faces addere	 Alicui faces addere 	 incitar 	
usageExample:n1330.sg01.s02.u01		amicula feralia	 Amicula feralia 	 as mortalhas 	
usageExample:n1334.sg20.s01.u01		ab studiis feriatus	 Ab studiis feriatus 		
usageExample:n1334.sg20.s01.u02		feriati dies	 Feriati dies 		in quibus feriae aguntur
usageExample:n1334.sg20.s01.u03		malè feriatus	 Malè feriatus 		i, ignávus, & inutili otio vacans.
usageExample:n1334.sg20.s01.u04		feriata machaera	 Feriata machaera 	 adaga , punhal , ou cutelo , de que se naõ usa 	i, sica, gladius, vel culter, quo quis non utitur
usageExample:n1335.sg01.s99.u01		aures ferire	 Aures ferire 	 excitar 	
usageExample:n1335.sg01.s99.u02		fores ferire	 Fores ferire 	 bater na porta 	
usageExample:n1335.sg01.s99.u03		foedus ferire	 Foedus ferire 	 fazer , firmar o concerto da paz 	
usageExample:n1337.sg01.s02.u01		ferunt	 Ferunt 	 dizem , ou contaõ 	
usageExample:n1337.sg01.s02.u02		fertur	 Fertur 	 conta - se 	
usageExample:n1337.sg01.s99.u01		ferre manum	 Ferre manum 	 pelejar 	apud Virg. pro Conferre
usageExample:n1337.sg01.s99.u02		ferre se in auro	 Ferre se in auro 		pro Ostentare.
usageExample:n1337.sg01.s99.u03		ad senatum, uel ad pópulum ferre	 Ad Senatum , vel ad pópulum ferre 	 consultar o Senado , ou povo sobre alguma cousa 	
usageExample:n1337.sg01.s99.u04		uetustatem	 Vetustatem 	 durar muito , naõ se corromper alguma cousa com o tempo 	i, annos ferre
usageExample:n1337.sg01.s99.u05		sùsque, deque fero	 Sùsque , deque fero 		apud veteres, i, sursùm, an deorsum res feratur, parvi facio.
usageExample:n1340.sg01.s99.u01		odio, irâ, & auaritiâ feruére	 Odio , irâ , & avaritiâ fervére 	 abrazar - se com odio , etc 	
usageExample:n1342.sg01.s01.u01		dies natalis domini omnibus maximè festus	 Dies Natalis Domini omnibus maximè festus 		
usageExample:n1342.sg10.s99.u01		dies profesti	 Dies profesti 	 dias de fazer 	
usageExample:n1343.sg10.s99.u01		ficus, ficus, ligonem, ligonem uocat	 Ficus , ficus , ligonem , ligonem vocat 	 se diz do que nomea as cousas por seus nomes sem rodêos 	
usageExample:n1344.sg01.s02.u01		memoria fidelis	 Memoria fidelis 	 memoria firme 	
usageExample:n1345.sg01.s01.u01		bonae fidei homo	 Bonae fidei homo 	 homem de sua palavra , e aquem tudo se pode encarregar seguramente 	
usageExample:n1345.sg01.s01.u02		abrogare fidem	 Abrogare fidem 	 perder o credito 	
usageExample:n1345.sg01.s99.u01		tabularum fides	 Tabularum fides 	 a authoridade das escrituras 	
usageExample:n1345.sg01.s99.u02		dare alicui fidem	 Dare alicui fidem 	 prometter , ou dar sua palavra com firmeza 	
usageExample:n1345.sg01.s99.u03		fallere fidem	 Fallere fidem 	 naõ cumprir o promettido 	
usageExample:n1345.sg01.s99.u04		mutare fidem	 Mutare fidem 	 o mesmo , ou desfazer o contracto , ou pacto 	
usageExample:n1345.sg01.s99.u05		altérius fide pecuniam ab aliquo sumere	 Altérius fide pecuniam ab aliquo sumere 	 tomar o dinheiro com fiança de outro 	
usageExample:n1345.sg01.s99.u06		in alicuius fide esse	 In alicujus fide esse 	 estar debaixo da protecçaõ de alguem 	
usageExample:n1345.sg01.s99.u07		affecta, uel afflicta fides	 Affecta , vel afflicta fides 		i, laesa.
usageExample:n1345.sg01.s99.u08		fides publica	 Fides publica 	 salvo conducto 	
usageExample:n1345.sg01.s99.u09		alicui fidem facere	 Alicui fidem facere 	 fazer que crea , persuadir 	
usageExample:n1346.sg20.s99.u01		accipere fiduciam	 Accipere fiduciam 	 se diz do que compra , ou recebe alguma cousa com condiçaõ de a restituir 	undé talis res fiduciária dicitur.
usageExample:n1348.sg01.s99.u01		arma in poste, uel ad postem figere	 Arma in poste , vel ad postem figere 	 pendurar as armas 	quod de gladiatóribus jam emeritis dicebatur.
usageExample:n1350.sg01.s99.u01		fratris filius	 Fratris filius 	 o sobrinho 	
usageExample:n1350.sg01.s99.u02		fortunae filius	 Fortunae filius 		cui omnia prosperè succedunt.
usageExample:n1350.sg01.s99.u03		terrae filii	 Terrae filij 		i, obscuro, ignotoque nati genere.
usageExample:n1354.sg01.s99.u01		corpora fingere linguâ	 Corpora fingere linguâ 		i, lambendo fingere.
usageExample:n1354.sg01.s99.u02		natura fingit animalia uentri prona	 Natura fingit animalia ventri prona 	 fez , formou 	
usageExample:n1354.sg01.s99.u03		caeteros ex sua natura fingere	 Caeteros ex sua natura fingere 	 julgar os outros por si 	
usageExample:n1360.sg01.s99.u01		flamen dialis	 Flamen Dialis 	 Sacerdote de Júpiter 	
usageExample:n1362.sg01.s99.u01		animum flectere	 Animum flectere 	 vencer , reprimir o animo 	
usageExample:n1362.sg01.s99.u02		aetatis flexus	 Aetatis flexus 	 a declinaçaõ da idade para a velhice 	
usageExample:n1364.sg01.s01.u01		flocci aestimare, facere, pendere	 Flocci aestimare , facere , pendere 	 estimar em nada 	
usageExample:n1366.sg01.s99.u01		flos uini	 Flos vini 	 o cheiro , ou escuma , que o vinho faz nas talhas 	
usageExample:n1368.sg01.s01.u01		lassitudine, & sudòre membra fluunt	 Lassitudine , & sudòre membra fluunt 	 com o cansaço , etc 	
usageExample:n1368.sg01.s99.u01		ille fluit facetiis	 Ille fluit facetijs 	 he pilha de graças 	
usageExample:n1368.sg01.s99.u02		tagus auro fluit	 Tagus auro fluit 	 o Tejo leva ouro 	
usageExample:n1368.sg01.s99.u03		rami fluentes	 Rami fluentes 	 ramos muito crescidos 	
usageExample:n1371.sg01.s99.u01		stimulis aliquem fodere	 Stimulis aliquem fodere 	 picar , estimular 	
usageExample:n1371.sg01.s99.u02		iuxta fluuium puteum fodit	 Juxta fluvium puteum fodit 	 abrio poço junto do rio 	de stulto, & inàniter laborante.
usageExample:n1374.sg01.s01.u01		sol lumen suum caeteris sideribus faenerat	 Sol lumen suum caeteris sideribus faenerat 		
usageExample:n1375.sg01.s99.u01		foenum, esse	 Foenum , esse 		id est, comédere, dicitur in indoctos, ac brutos homines.
usageExample:n1375.sg01.s99.u02		foenum habet in cornu	 Foenum habet in cornu 	 se diz daquelle , de quem nos devemos acautelar 	
usageExample:n1380.sg01.s99.u01		fontes sitium	 Fontes sitium 	 se diz , dos que pedem aquillo , de que tem abundancia 	
usageExample:n1380.sg01.s99.u02		omissis fontibus, consectari ribulos	 Omissis fontibus , consectari ribulos 		i, minus ad rem pertinentia dicere, omisso eo, quod est negotij caput.
usageExample:n1385.sg01.s01.u01		sum foris	 Sum foris 		
usageExample:n1385.sg01.s01.u02		uenio foris	 Venio foris 		
usageExample:n1393.sg01.s99.u01		dare fraenos hosti	 Dare fraenos hosti 	 vencer , sogeitar 	
usageExample:n1393.sg01.s99.u02		mordére fraenum	 Mordére fraenum 	 levar com impaciencia , o que de força se ha de sofrer 	
usageExample:n1394.sg01.s99.u01		dolore, uel metu frangi	 Dolore , vel metu frangi 	 affligir - se , etc 	
usageExample:n1395.sg01.s99.u01		fratres germani	 fratres germani 		qui patre eodem, eâdemque matre
usageExample:n1395.sg01.s99.u02		fratres uterini	 fratres uterini 		qui eâdem matre, diversis altem patribus editi sunt.
usageExample:n1396.sg01.s01.u01		uicta se fraudare	 Victa se fraudare 	 defraudar - se do sustento 	
usageExample:n1396.sg01.s01.u02		militum stipendium fraudare	 Militum stipendium fraudare 		
usageExample:n1396.sg01.s99.u01		fraudare genium	 Fraudare genium 	 naõ satisfazer ao appetite 	
usageExample:n1399.sg01.s01.u01		faba fressa	 Faba fressa 		
usageExample:n1399.sg10.s99.u01		dentibus frendere	 Dentibus frendere 	 rugir batendo com os dentes 	
usageExample:n1400.sg01.s01.u01		nemus pauonibus frequens, uel pauonum	 Nemus pavonibus frequens , vel pavonum 		
usageExample:n1400.sg01.s01.u02		mos poetis frequentissimus	 Mos poetis frequentissimus 		
usageExample:n1402.sg10.s01.u01		refricare dolorem, desiderium, & c	 Refricare dolorem , desiderium , & c 		
usageExample:n1408.sg01.s02.u01		explicare, uel exporrigere frontem	 explicare , vel exporrigere frontem 	 alegrar - se 	
usageExample:n1408.sg01.s02.u02		explicata, uel explicita frons	 explicata , vel explicita frons 	 rosto alegre 	
usageExample:n1408.sg01.s02.u03		obducta frons	 Obducta frons 	 rosto triste 	i, corrugata, contracta, vel caperata
usageExample:n1408.sg01.s02.u04		adducta frons	 Adducta frons 	 rosto irado 	
usageExample:n1408.sg01.s02.u05		perfricare frontem, faciem, uel os	 Perfricare frontem , faciem , vel os 	 lançar fora a vergonha , naõ ter pejo 	
usageExample:n1408.sg01.s99.u01		ferire frontem	 Ferire frontem 		dicuntur, qui nimis indignantur.
usageExample:n1410.sg01.s99.u01		corrigere aliquem ad frugem	 Corrigere aliquem ad frugem 		i, ita emendare, ut frugi homo evadat.
usageExample:n1410.sg01.s99.u02		ad frugem bonam euadere, uel recipere se	 Ad frugem bonam evadere , vel recipere se 	 emendar - se o que era máo 	
usageExample:n1411.sg01.s01.u01		seruus frugi	 Servus frugi 	 servo bom , e proveitoso 	
usageExample:n1411.sg01.s01.u02		homines frugi	 Homines frugi 	 homens virtuosos , e modestos 	
usageExample:n1411.sg01.s01.u03		homo, uel seruus bonae frugi	 Homo , vel servus bonae frugi 		
usageExample:n1415.sg01.s99.u01		meum consilium frustra non fuit	 Meum consilium frustra non fuit 	 teve successo 	
usageExample:n1415.sg01.s99.u02		frustra es	 Frustra es 	 erras 	
usageExample:n1415.sg01.s99.u03		frustraris	 frustraris 	 errais , enganais - vos 	
usageExample:n1415.sg01.s99.u04		frustra aliquem habere	 Frustra aliquem habere 		i, frustra, enganar.
usageExample:n1417.sg01.s01.u01		crocodilus animal audaci fugax	 Crocodilus animal audaci fugax 	 que foge muito , do que se lhe atreve 	
usageExample:n1418.sg01.s02.u01		hoc me fugit	 Hoc me fugit 	 naõ sei isto 	
usageExample:n1418.sg01.s99.u01		fuge suspicari	 Fuge suspicari 	 naõ suspeiteis 	
usageExample:n1419.sg01.s99.u01		fugitans litium	 Fugitans litium 	 o que foge muito de demandas 	
usageExample:n1420.sg01.s01.u01		seruus à domino, uel domini fugitiuus	 Servus à domino , vel domini fugitivus 		
usageExample:n1425.sg01.s99.u01		exercitum fundere	 Exercitum fundere 	 destruir 	
usageExample:n1425.sg01.s99.u02		statuam ex aere fundere	 Statuam ex aere fundere 	 fundir 	
usageExample:n1426.sg01.s99.u01		sera parcimonia in fundo	 Sera parcimonia in fundo 	 se dirá dos desperdiçados , que começaõ a ser parcos , quando quasi tudo tem gastado 	
usageExample:n1428.sg01.s99.u01		funesta familia	 Funesta familia 	 se dizia antes do enterro , e exequias 	
usageExample:n1429.sg01.s01.u01		uitâ, uel fato functus	 Vitâ , vel fato functus 		i, mortuus.
usageExample:n1430.sg01.s99.u01		funes reducere	 Funes reducere 		i, libertatem, vel beneficia data adimere.
usageExample:n1430.sg01.s99.u02		nihil traxit funis	 Nihil traxit funis 	 trabalhou - se debalde , e sem successo 	
usageExample:n1435.sg01.s99.u01		furari ciuitatem, uel furatim assequi	 Furari civitatem , vel furatim assequi 	 vir a ser cidadaõ por tramoia 	
usageExample:n1445.sg01.s99.u01		gaudere gaudium, ut uiuere uitam	 Gaudere gaudium , ut vivere vitam 		dicitur.
usageExample:n1445.sg01.s99.u02		in sinu gaudere	 In sinu gaudere 	 alegrar - se comsigo , ou com os seus 	
usageExample:n1446.sg01.s99.u01		gausapina penula	 Gausapina penula 	 capa de pelo por dentro , e por fora para o inverno 	
usageExample:n1452.sg01.s99.u01		sine gente	 sine gente 		i, ignobilis.
usageExample:n1455.sg01.s02.u01		moderaté se gerere	 moderaté se gerere 	 haver - se moderadamente 	
usageExample:n1455.sg01.s99.u01		gerere consulem, honores, & c	 Gerere consulem , honores , & c 	 gozar da dignidade do consul , gozar das honras , etc 	
usageExample:n1455.sg01.s99.u02		rempublicam gerere	 Rempublicam gerere 	 administrar , governar a Republica 	
usageExample:n1455.sg01.s99.u03		res alias gerere	 Res alias gerere 	 naõ estar attento ao que se diz 	
usageExample:n1455.sg01.s99.u04		morem gerere alicui	 Morem gerere alicui 	 obedecer 	
usageExample:n1465.sg01.s01.u01		diuitiis uel in, uel de diuitiis gloriari	 Divitiis vel in , vel de divitiis gloriari 		
usageExample:n1465.sg01.s99.u01		alicui gloriari	 Alicui gloriari 	 gabar - se a alguem 	
usageExample:n1476.sg01.s01.u01		grates alicui agere, uel habere	 Grates alicui agere , vel habere 		
usageExample:n1477.sg01.s01.u01		regi, uel apud regem gratiosus	 Regi , vel apud Regem gratiosus 		
usageExample:n1479.sg01.s02.u01		deo gratus esse cupio, uel in, uel apud deum	 Deo gratus esse cupio , vel in , vel apud Deum 		
usageExample:n1479.sg01.s99.u01		alicui gratum facere	 Alicui gratum facere 	 fazer obsequio , ou serviço 	
usageExample:n1486.sg01.s99.u01		gryphos dissoluere	 Gryphos dissolvere 	 soltar argumentos subdolos 	
usageExample:n1491.sg01.s99.u01		habere concionem	 Habere concionem 	 prégar 	
usageExample:n1491.sg01.s99.u02		habere uerba	 Habere verba 	 fallar 	
usageExample:n1491.sg01.s99.u03		habere iter, uel uiam	 Habere iter , vel viam 	 caminhar 	
usageExample:n1491.sg01.s99.u04		habere delectum	 Habere delectum 	 escolher 	
usageExample:n1491.sg01.s99.u05		alicui habere honorem	 Alicui habere honorem 	 honrar 	
usageExample:n1491.sg01.s99.u06		alicui habere fidem	 Alicui habere fidem 	 crer 	
usageExample:n1491.sg01.s99.u07		alicui habere gratiam, uel gratias	 Alicui habere gratiam , vel gratias 	 ficar agradecido , e com animo de recompensar o beneficio 	
usageExample:n1491.sg01.s99.u08		malè habere	 Malè habere 	 estar mal 	
usageExample:n1491.sg01.s99.u09		benè, uel bellè habere	 benè , vel bellè habere 	 estar bem 	
usageExample:n1491.sg01.s99.u10		aegrè habere	 aegrè habere 	 levar mal 	
usageExample:n1491.sg01.s99.u11		aliquem bene, uel comiter habere	 Aliquem bene , vel comiter habere 	 tratar a alguem bem com affabilidade , e cortezia 	
usageExample:n1491.sg01.s99.u12		aliquem in deliciis habere	 Aliquem in deliciis habere 	 amar muito 	
usageExample:n1491.sg01.s99.u13		aliquem despicatum, uel despicatui, contemptui, uel despectui habere	 Aliquem despicatum , vel despicatui , contemptui , vel despectui habere 	 desprezar 	
usageExample:n1491.sg01.s99.u14		habere rationem salutis, honoris, & c	 Habere rationem salutis , honoris , & c 	 ter conta ou cuidado da saude , etc 	
usageExample:n1491.sg01.s99.u15		aliquid derelictui, uel pro derelicto habere	 Aliquid derelictui , vel pro derelicto habere 	 naõ ter cuidado , ou naõ tratar de alguma cousa 	
